26-06-2015 11:50:18,387 [main] INFO  - Started o.e.j.s.h.ContextHandler@36a8d6b3{/static,null,AVAILABLE}
26-06-2015 11:50:18,387 [main] INFO  - Started ServerConnector@666942cb{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:50:18,388 [main] INFO  - Started @1582ms
26-06-2015 11:50:18,404 [main] INFO  - Stopped ServerConnector@666942cb{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:50:18,405 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@36a8d6b3{/static,null,UNAVAILABLE}
26-06-2015 11:52:28,590 [main] INFO  - Logging initialized @159ms
26-06-2015 11:52:28,657 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:52:28,672 [main] INFO  - Started o.e.j.s.h.ContextHandler@53419df2{/static,null,AVAILABLE}
26-06-2015 11:52:28,689 [main] INFO  - Started ServerConnector@6fb75649{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 11:52:28,690 [main] INFO  - Started @264ms
26-06-2015 11:55:28,086 [main] INFO  - Logging initialized @164ms
26-06-2015 11:55:28,162 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:55:28,183 [main] INFO  - Started o.e.j.s.h.ContextHandler@592bf469{/static,null,AVAILABLE}
26-06-2015 11:55:28,203 [main] INFO  - Started ServerConnector@563e25fd{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 11:55:28,203 [main] INFO  - Started @286ms
26-06-2015 11:55:29,817 [main] INFO  - Logging initialized @1340ms
26-06-2015 11:55:29,916 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:55:29,939 [main] INFO  - Started o.e.j.s.h.ContextHandler@1c9f6ece{/static,null,AVAILABLE}
26-06-2015 11:55:29,959 [main] INFO  - Started ServerConnector@4149888e{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:55:29,960 [main] INFO  - Started @1485ms
26-06-2015 11:55:30,554 [main] INFO  - Stopped ServerConnector@4149888e{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:55:30,554 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@1c9f6ece{/static,null,UNAVAILABLE}
26-06-2015 11:55:30,559 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:55:30,560 [main] INFO  - Started o.e.j.s.h.ContextHandler@38265f9c{/static,null,AVAILABLE}
26-06-2015 11:55:30,561 [main] INFO  - Started ServerConnector@41941fd2{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:55:30,562 [main] INFO  - Started @2086ms
26-06-2015 11:55:30,598 [main] INFO  - Stopped ServerConnector@41941fd2{HTTP/1.1}{0.0.0.0:8888}
